coef,se,event_time,ci_lo,ci_hi,spec
.0027906015,.050474621,-4,-.096139655,.10172086,never_moved
-.037647616,.040960535,-3,-.11793026,.042635035,never_moved
.0029840039,.034103468,-2,-.063858792,.069826804,never_moved
-.01615666,.030974314,0,-.076866314,.044552993,never_moved
-.045774955,.036096856,1,-.11652479,.024974883,never_moved
-.062979363,.041959837,2,-.14522064,.019261917,never_moved
-.074282899,.049819265,3,-.17192866,.023362858,never_moved
-.07090199,.060840636,4,-.19014964,.048345659,never_moved
