coef,se,event_time,ci_lo,ci_hi
-.043945037,.056657121,-4,-.154993,.067102917
-.094541691,.04786934,-3,-.18836559,-.00071778568
-.050180588,.040698439,-2,-.12994952,.029588353
-.020627687,.03762411,0,-.094370939,.053115569
-.13034792,.04419611,1,-.21697229,-.043723546
-.14852513,.051763523,2,-.24998164,-.047068629
-.0833105,.061945975,3,-.20472461,.03810361
-.13197832,.071822502,4,-.27275041,.0087937852
