coef,se,event_time,ci_lo,ci_hi
-.016641214,.077054515,-4,-.16766806,.13438563
-.056692775,.063662387,-3,-.18147105,.068085507
-.021841822,.052421156,-2,-.12458729,.080903642
-.092531964,.046187926,0,-.1830603,-.002003629
-.1624376,.053739689,1,-.2677674,-.057107814
-.20331995,.065001227,2,-.33072236,-.075917549
-.12665476,.075073503,3,-.27379882,.020489307
-.1491302,.089931212,4,-.32539538,.027134981
