coef,se,event_time,ci_lo,ci_hi
-.051515818,.032649692,-4,-.11550921,.012477579
-.062532783,.029164907,-3,-.119696,-.0053695654
-.041903608,.024994109,-2,-.090892062,.0070848456
-.029132962,.023304973,0,-.074810706,.016544785
-.02925517,.02699621,1,-.082167745,.023657402
-.04785395,.030003453,2,-.10666072,.010952817
-.024069915,.034386512,3,-.091467477,.043327648
-.024968503,.040531795,4,-.10441082,.054473817
