coef,se,event_time,ci_lo,ci_hi,spec
.0067208167,.034720335,-4,-.061331041,.074772671,nonmover_at_gain
.001189571,.029781526,-3,-.057182219,.059561361,nonmover_at_gain
.018273132,.02537548,-2,-.031462807,.068009071,nonmover_at_gain
-.021711882,.022935443,0,-.066665351,.023241585,nonmover_at_gain
-.063421741,.026246386,1,-.11486465,-.011978826,nonmover_at_gain
-.09466143,.02984044,2,-.1531487,-.036174167,nonmover_at_gain
-.065477826,.034789406,3,-.13366506,.0027094097,nonmover_at_gain
-.079654992,.040750023,4,-.15952504,.00021505341,nonmover_at_gain
