coef,se,event_time,ci_lo,ci_hi
-.010581232,.029519869,-4,-.068440177,.047277711
-.036903139,.025551936,-3,-.086984932,.013178655
-.017159339,.021572333,-2,-.059441112,.025122434
-.039637253,.019689595,0,-.078228861,-.0010456458
-.082139485,.022598267,1,-.12643209,-.037846882
-.11224695,.025649883,2,-.16252072,-.061973184
-.096577562,.029754924,3,-.15489721,-.038257912
-.10507515,.034953516,4,-.17358404,-.036566261
